Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,67.510002,68.430000,67.120003,68.250000,58.394653,3930300
2019-01-03,68.110001,68.110001,67.120003,67.300003,57.581829,5407700
2019-01-04,68.000000,68.150002,67.669998,67.980003,58.163643,5103400
2019-01-07,68.589996,68.589996,67.449997,67.690002,57.915520,5907000
2019-01-08,68.000000,68.190002,67.330002,67.820000,58.026745,7337200
2019-01-09,67.500000,68.410004,67.379997,68.139999,58.882233,5124400
2019-01-10,68.199997,68.870003,67.779999,68.800003,59.452579,3953000
2019-01-11,68.839996,68.860001,68.330002,68.860001,59.504414,3519700
2019-01-14,68.739998,69.050003,68.559998,68.650002,59.322945,3248300
2019-01-15,68.550003,69.540001,68.419998,69.330002,59.910553,2665500
2019-01-16,69.849998,70.900002,69.849998,70.629997,61.033928,4320500
2019-01-17,70.419998,71.370003,70.330002,71.339996,61.647480,3382200
2019-01-18,71.910004,72.580002,71.800003,72.339996,62.511604,4799300
2019-01-21,72.580002,72.900002,72.089996,72.900002,62.995518,1476100
2019-01-22,72.400002,72.559998,71.730003,72.410004,62.572105,4053600
2019-01-23,72.449997,73.099998,72.150002,72.199997,62.390629,3067000
2019-01-24,72.120003,72.790001,72.059998,72.660004,62.788139,2512400
2019-01-25,73.000000,73.029999,72.529999,72.830002,62.935043,1908100
2019-01-28,72.400002,73.180000,72.339996,73.169998,63.228840,1971000
2019-01-29,73.379997,73.919998,73.120003,73.709999,63.695480,3106200
2019-01-30,73.750000,73.940002,73.529999,73.730003,63.712772,3368400
2019-01-31,73.519997,74.080002,73.519997,74.000000,63.946072,4005700
2019-02-01,74.050003,74.529999,73.720001,73.769997,63.747322,2475200
2019-02-04,74.239998,74.540001,73.910004,74.260002,64.170753,4255800
2019-02-05,74.500000,74.589996,74.220001,74.540001,64.412712,2923200
2019-02-06,74.500000,74.930000,74.470001,74.779999,64.620110,2391000
2019-02-07,74.779999,74.900002,74.089996,74.570000,64.438637,3772900
2019-02-08,74.400002,74.720001,74.040001,74.620003,64.481850,1944300
2019-02-11,74.800003,74.900002,73.959999,73.970001,63.920158,2727200
2019-02-12,74.199997,74.730003,74.190002,74.629997,64.490479,2919700
2019-02-13,74.800003,75.000000,74.669998,74.870003,64.697868,2409900
2019-02-14,74.809998,74.900002,74.379997,74.610001,64.473190,2788900
2019-02-15,74.849998,75.760002,74.790001,75.360001,65.121307,3419300
2019-02-19,75.500000,75.739998,75.139999,75.690002,65.406479,3591300
2019-02-20,75.550003,76.320000,75.540001,76.290001,65.924950,2810700
2019-02-21,76.320000,76.410004,76.019997,76.330002,65.959503,3377300
2019-02-22,76.459999,76.639999,76.129997,76.220001,65.864464,2373400
2019-02-25,76.519997,77.050003,76.480003,76.570000,66.166916,2394800
2019-02-26,76.540001,77.070000,76.510002,76.720001,66.296547,4146700
2019-02-27,77.000000,77.400002,76.739998,77.300003,66.797737,3109700
2019-02-28,74.910004,76.320000,74.839996,75.459999,65.207718,7009000
2019-03-01,75.849998,76.169998,75.089996,75.160004,64.948463,3185900
2019-03-04,75.480003,75.750000,74.849998,75.019997,64.827484,3554200
2019-03-05,75.019997,75.250000,74.730003,75.070000,64.870712,3122100
2019-03-06,75.099998,75.169998,74.730003,74.930000,64.749733,4231300
2019-03-07,74.790001,75.050003,74.169998,74.589996,64.455925,4195800
2019-03-08,74.000000,74.970001,73.989998,74.830002,64.663322,4839400
2019-03-11,74.790001,75.330002,74.669998,75.120003,64.913918,7268100
2019-03-12,75.199997,75.349998,74.820000,75.279999,65.052170,4841800
2019-03-13,75.400002,75.540001,75.080002,75.160004,64.948463,3504700
2019-03-14,75.209999,75.260002,74.970001,75.029999,64.836143,1598000
2019-03-15,75.849998,75.849998,75.150002,75.570000,65.302757,11735400
2019-03-18,75.599998,76.250000,75.480003,76.250000,65.890381,2067800
2019-03-19,76.400002,76.400002,75.809998,75.820000,65.518806,2515500
2019-03-20,75.739998,75.900002,75.360001,75.459999,65.207718,2795200
2019-03-21,75.150002,75.410004,74.760002,74.860001,64.689232,4091200
2019-03-22,74.430000,74.570000,73.730003,74.000000,63.946072,5972600
2019-03-25,73.820000,74.059998,73.360001,73.879997,63.842388,4687900
2019-03-26,73.830002,74.480003,73.480003,73.660004,63.652267,4270100
2019-03-27,73.589996,73.680000,72.669998,73.139999,63.202919,8845700
2019-03-28,73.000000,73.220001,72.690002,73.050003,63.125145,4330900
2019-03-29,73.269997,73.279999,72.489998,72.519997,62.667160,4967400
2019-04-01,73.000000,74.050003,72.800003,73.910004,63.868309,5182900
